WKT,c_barri,c_carrer_id,c_codi_carrer,c_data_que_va_rebre_la_denominacio,c_denominacio,c_exp_historica_refos,c_fonts_refos,c_genere,c_nom_carrer_actual,c_period,c_segle,c_subtipologia,c_tipologia
"LINESTRING (2.1708 41.38056,2.1721 41.3791)",Raval,21,175208,1942,carrer,"Institució creada l'any 1758 pel foment i la protecció de la indústria i el comerç català. Promogué la formació tècnica i les arts amb la creació de 'L'Escola de Nàutica (1769) les escoles de Química i Taquigrafia (1805), l'Escola de Botànica (1807) i el 1775 l'Escola Gratuïta de Disseny (1775). La institució s'ubicà en l'edifici de la Llotja de Mar, on havia estat la institució del Consolat del Mar. L'actual Cambra Oficial de Comerç, Indústria, Serveis i Navegació de Barcelona, creada el 1886, és la seva continuadora. El nom anterior Mendizábal, va ser canviat durant el franquisme per eliminar del nomenclàtor una persona considerada antieclesiàstica per haver impulsat la desamortització dels ordes religiosos i confiscació dels seus béns per l'Estat (1836-1837). Un bar al número 2 del carrer recorda l'antic nom.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,Junta de Comerç,Franquisme,S. XX,Civil,Infraestructura
"MULTILINESTRING ((2.16858 41.37587,2.16785 41.37533,2.16773 41.37496),(2.16872 41.37598,2.16858 41.37587),(2.1691 41.37639,2.16876 41.37608,2.16872 41.37598),(2.17055 41.37771,2.16994 41.37705),(2.16932 41.37652,2.1691 41.37639),(2.16994 41.37705,2.16963 41.37676,2.16932 41.37652),(2.17155 41.37862,2.17131 41.3784),(2.1721 41.3791,2.17155 41.37862),(2.1733 41.38112,2.17321 41.38092,2.17294 41.38025,2.17286 41.38007,2.17277 41.37993),(2.17277 41.37993,2.17262 41.37971),(2.17224 41.37926,2.1721 41.3791),(2.17262 41.37971,2.17248 41.37953,2.17224 41.37926),(2.1711 41.37821,2.17055 41.37771),(2.17131 41.3784,2.1711 41.37821))",Raval,22,308505,911,carrer,"Saule de Tars (1-7 Tars- Roma 64-67). Fariseu que perseguirà als cristians fins a la seva conversió. Propagador del cristianisme i escriptor dels textos més antics del nou testament. Pateix martiri a Roma. La denominació del carrer ve donada pel monestir de Sant Pau del Camp, del que la notícia documental més antiga que hi ha és la làpida funerària del comte Guifré II, mort l'any 911. El carrer segueix el traçat del camí que unia el monestir a la ciutat. A partir de la construcció de la muralla de la Rambla al segle XIII i la del Raval, segles XIV i XV el traçat quedarà fixat entre el portal de la Boqueria i el portal de Sant Pau. La part del carrer a tocar a la Ronda Sant Pau, ha estat popularment coneguda com la bretxa Sant Pau, nom que es podria remuntar al setge de Barcelona de 1705 on els exèrcits aliats van obrir un esvoranc a la muralla en aquest indret.","VV.AA. (1992). Catalunya Romànica. Volum XX.  El Barcelonès. El Baix Llobregat. El Maresme. Barcelona: Enciclopèdia catalana.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",Home,Sant Pau,II Republicà,S. X,Eclesiàstic,Persona
"MULTILINESTRING ((2.17055 41.37771,2.17121 41.37739),(2.1716 41.3772,2.17205 41.37697),(2.17121 41.37739,2.1716 41.3772))",Raval,23,308301,1791,carrer,"Oleguer Bonestruga (1060-1137), bisbe de Barcelona i arquebisbe de Tarragona, canonitzat l'any 1675. El seu sepulcre barroc està a la capella del santíssim de la catedral de Barcelona i es pot visitar el cambril i visualitzar l'urna funerària cada 6 de març, dia de la seva onomàstica. El carrer es va obrir l'any 1791.","Víctor Balaguer. Las calles de Barcelona en 1865.; Nomenclàtor 1980 de les Vies Públiques de Barcelona (modificació de n80: ampliació o rectificació).; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009",Home,Sant Oleguer,Modern,S. XVIII,Sant/a,Persona
"MULTILINESTRING ((2.16773 41.37496,2.16759 41.37529,2.16683 41.37587),(2.16683 41.37587,2.16657 41.37605),(2.16657 41.37605,2.1661 41.3764),(2.16434 41.37777,2.16314 41.37866),(2.16464 41.37753,2.16434 41.37777),(2.1661 41.3764,2.16544 41.3769),(2.16544 41.3769,2.16464 41.37753))",Raval,24,308709,1872,ronda,Nom que recorda el pas de ronda de la muralla proper al portal de Sant Pau. La construcció de la muralla en aquest tram es va finalitzar l'any 1389.,"Ponsetí Vives, Miquel. Fitxes de nomenclatura,1986.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",,Sant Pau,1869-1873,S. XIX,Civil,Infraestructura
"MULTILINESTRING ((2.16336 41.38075,2.16351 41.3818),(2.16314 41.37866,2.16311 41.37897,2.16331 41.38034),(2.16331 41.38034,2.16336 41.38075),(2.16357 41.38232,2.16372 41.38336),(2.16383 41.38417,2.16392 41.38494))",Raval,25,296508,1872,ronda,Nom que recorda el pas de ronda de la muralla proper al portal de Sant Antoni. La construcció de la muralla en aquest tram es va finalitzar l'any 1377.,"Ponsetí Vives, Miquel. Fitxes de nomenclatura,1986; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009; Cubeles, Albert. La muralla medieval  de Barcelona i els seus portals. Barcelona: Ajuntament, 2007.",,Sant Antoni,1869-1873,S. XIX,Civil,Infraestructura
"MULTILINESTRING ((2.16387 41.3789,2.16325 41.37872,2.16314 41.37866),(2.1643 41.37902,2.16407 41.37897,2.16387 41.3789),(2.16591 41.37947,2.16572 41.37944,2.16542 41.37935),(2.16542 41.37935,2.16507 41.37922),(2.16474 41.37913,2.16454 41.37908,2.1643 41.37902),(2.16507 41.37922,2.16488 41.37917,2.16474 41.37913))",Raval,26,296600,1477,carrer,"Antoni Abad 231-350, monjo cristià, és un dels fundadors de l’eremitisme, patró dels animals. En la seva festivitat el 17 de gener, es fa la tradicional benedicció d’animals anomenada els tres tombs. El carrer formava part de la via augusta romana, rep la denominació al segle XV per l'hospital església i convent de Sant Antoni que es va construir entre els anys 1433-1477.","Figuerola Rotger, Pere Jordi. (2003). L'Art Gòtic a Catalunya. Arquitectura II. Barcelona: Enciclopèdia Catalana.",Home,Sant Antoni Abat,Medieval,S. XV,Sant/a,Persona
"MULTILINESTRING ((2.17014 41.38036,2.17025 41.38023,2.17039 41.38006,2.17056 41.37986,2.17065 41.37974),(2.17155 41.37862,2.17125 41.37899),(2.17065 41.37974,2.17071 41.37966,2.17083 41.37949,2.17095 41.37934,2.17109 41.37918,2.1712 41.37905,2.17125 41.37899))",Raval,27,284804,1363,carrer,"Camí medieval, un dels primers carrers poblat del barri, ja des de l’edat mitjana. El nom de Robadors, prové d’haver existit la casa d’una família important amb aquest cognom,  una escriptura de l’any 1363 cita el carrer amb el nom actual.","Josep Roca i Ramon N. Comas. Manuscrits B-138 al 141 de l’AHCB. 1922; Claramunt, Savador. El arrabal de las Ramblas en la Barcelona del siglo XV. En la España Medieval, 7, 1407-1431, 1985.",,Robador,Medieval,S. XIV,,Famílies
"MULTILINESTRING ((2.16637 41.37948,2.16709 41.37954),(2.16807 41.37976,2.16746 41.3796,2.16709 41.37954),(2.16883 41.37998,2.16807 41.37976),(2.17014 41.38036,2.16969 41.38024),(2.16911 41.38007,2.16894 41.38001,2.16883 41.37998),(2.16969 41.38024,2.16911 41.38007),(2.1715 41.38074,2.17143 41.38076,2.17098 41.38062),(2.17176 41.38083,2.17165 41.38081,2.1715 41.38074),(2.17316 41.38129,2.1729 41.38118,2.17259 41.38105,2.17244 41.38099),(2.172 41.38088,2.17219 41.38092,2.17232 41.38095,2.17244 41.38099),(2.17189 41.38086,2.17176 41.38083),(2.172 41.38088,2.17189 41.38086),(2.1708 41.38056,2.17014 41.38036),(2.17098 41.38062,2.1708 41.38056))",Raval,28,157909,0,passatge,"Camí que seguia el traçat de l’antiga via Augusta romana. La denominació li ve de l'Hospital de la Santa Creu (1401-1926), que tenia el seu accés principal en aquest carrer.","Josep Roca i Ramon N. Comas. Manuscrits B-138 al 141 de l’AHCB. 1922; Claramunt, Savador. El arrabal de las Ramblas en la Barcelona del siglo XV. En la España Medieval, 7, 1407-1431, 1985.",,Hospital,Contemporani,S. XIX,Civil,Infraestructura
"LINESTRING (2.1708 41.38056,2.17082 41.3806,2.1708 41.38064,2.17069 41.38075,2.17082 41.38081)",Raval,29,60104,1955,carrer,"Joan Colom (? - 1229), canonge de la catedral de Barcelona. L'any 1219, fundà l'Hospital d'en Colom que ocupava part de l'actual plaça, i del que encara es conserva una font, ""la pica d'en Colom"" al carrer Hospital. L'any 1401, es fusiona amb altres centres assistencials per la creació de l'Hospital de la Santa Creu.","Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/
; J. M. ROCA, “Lo bressol de l’Hospital de la Santa Creu”, Anuario del Hospital de la Santa Cruz III-IV, 1921-1922, p. 5-87.",Home,Canonge Colom,Franquisme,S. XX,Eclesiàstic,Persona
"MULTILINESTRING ((2.1667 41.37999,2.16637 41.37979,2.1662 41.37968),(2.1667 41.37999,2.16731 41.38041),(2.16749 41.38057,2.16731 41.38041),(2.16872 41.38142,2.16857 41.38132),(2.16895 41.38155,2.16872 41.38142),(2.16825 41.38113,2.16791 41.38089),(2.16857 41.38132,2.16825 41.38113),(2.16772 41.38076,2.16749 41.38057),(2.16791 41.38089,2.16772 41.38076),(2.1703 41.38228,2.17003 41.38214),(2.17052 41.38239,2.1703 41.38228),(2.17172 41.38301,2.17162 41.38295,2.17129 41.3828),(2.17097 41.38263,2.17077 41.38252,2.17052 41.38239),(2.17129 41.3828,2.17115 41.38274,2.17097 41.38263),(2.16975 41.38199,2.16952 41.38187),(2.17003 41.38214,2.16975 41.38199),(2.16921 41.38169,2.16895 41.38155),(2.16952 41.38187,2.16921 41.38169))",Raval,30,67307,1291,carrer,"El nom ve donat pel desaparegut convent del Carme, fundat entre el 1291 i 1292. En la bullanga de 1835 fou assaltat, l'església va ser cremada i el convent va sobreviure amb pocs danys. El 1838 els edificis van passar a ser propietat de l'Ajuntament on es va instal·lar la Universitat, fins el trasllat d'aquesta al nou edifici (1872). El 1874 es va enderrocar i el seu solar es va urbanitzar.","Barraquer i Roviralta, Gaietà. Las casas de religiosos en Cataluña durante el primer tercio del siglo XIX. Vol. I. Imp. J. Altés y Alabart, Barcelona, 1906.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",Dona,del Carme,Medieval,S. XIII,Religiosa,Infraestructura
